class	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
fusobacteriia	0.0029544715927556356545631800	0	0.0089330911473066730190870400	0	0.0066128818939293744213728300	0	61.288976331008167888869015680	0	0.129838011623593421540744400	0.3675262198583679445423850400	0.0090098207045679790972159700	0	0.0207333688762514069071737500	0	15.846409890632429862101759390	0	0	0	0	19.298298722528304171459708180	0.0619341138997847052231102700	0
lentisphaeria	0	0.0269034167339252085014796900	0	0	0.019838645681788123264118500	0.0060775495320286860337911800	0	0	0	0	0	0.224762394040585666581042900	0	0	0	0	0.0260103391097961439672269700	0	0	0	0	0
clostridia	0.0206813011492894495819422700	0.0239141482079335186679819400	0	0.1221511459706194348902246900	30.164660759158841423092183570	0	2.7663506826447266440112084900	0	0.3029553604550513169284036100	10.251889921415125347357098040	0.027029462113703937291647900	0.1091703056768558951965065500	0.0059238196789289734020496400	0.757056616087453091858378200	0.023775558725630052306229200	0	1.0599213187241928666644991400	0	0.1996076676876484151839487900	7.4559544711509353998910213700	0	0
epsilonproteobacteria	0.0206813011492894495819422700	0.0059785370519833796669954900	0	0	0.0892739055680465546885332600	0.0942020177464446335237632200	0	0	0	0	0.1982160555004955401387512400	0.0321089134343693809401489900	0	0.0065263501386849404470549800	0.0267475035663338088445078500	0	0.068277140163214877913970800	0	0	0.0030271841133377732033662300	0	0
bacteroidia	0.0059089431855112713091263600	0.0358712223119002780019729200	0	0.0450030537786492654858722600	2.2053961116254463695278402300	0.0091163242980430290506867600	8.355690693376259464615751510	0	0.0741931494991962408804253700	4.8704694176352825171064033200	0.0120130942727573054629546200	0.0224762394040585666581042900	0	0.0326317506934247022352749200	1.1293390394674274845458868300	0.0319738524939604945289185700	2.093832298338589589361771300	0	0.0585056957015521216918470600	3.9232306108857540715626324400	0	0
oligoflexia	0	0	0	0.0225015268893246327429361300	0.0033064409469646872106864200	0.0273489728941290871520602900	0	0	0	0	0.0150163678409466318286932800	0	0	0	0	0	0	0	0	0	0	0
deinococci	0	0	0	0	0	0	0	0.0751244248286224058597051400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spirochaetia	0	0	0.0476431527856355894351308700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
deltaproteobacteria	0.0029544715927556356545631800	0.0627746390458254865034526100	0.1905726111425423577405234800	8.807740525249927673663570030	0.0264515275757174976854913400	0.1640938373647745229123617400	0.0745245334764204376080605700	0.0688640560929038720380630400	0.0030913812291331767033510600	0.0268921624286610691128574400	0	0	0.213257508441443042473787100	4.0757056616087453091858378200	0.011887779362815026153114600	0	0.0715284325519393959098741700	0.3070329740621102120446477100	0	0.1059514439668220621178180100	0	0
betaproteobacteria	0	0.0358712223119002780019729200	0.0208438793437155703778697600	0.070719084509305988620656400	0.0132257637878587488427456700	0.0091163242980430290506867600	0	0.0563433186214668043947788500	0.021639668603932236923457400	0	0.0090098207045679790972159700	0.0963267403031081428204469600	0	0.3393702072116169032468591900	0	0.2415802188432570697740514400	0.0195077543323471079754202300	0.3102312342085905267534461300	0.1824001101283683793922290700	0	3.8812044710531748606482437300	0.0034181022696199070276182700
methanobacteria	0	0	0	0.0160725192066604519592400900	0.0859674646210818674778468500	0	0	0	0.0958328181031284778038827700	0	0	0	0	0.293685756240822320117474300	0	0	0	0	0	0	0	0
hydrogenophilalia	0	0	0	0	0	0	0	0.0939055310357780073246314200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saprospiria	0.0413626022985788991638845400	0.0388604908378919678354706600	0	0	0.019838645681788123264118500	0.0091163242980430290506867600	0	0	0.0711017682700630641770743200	0	0	0.0160544567171846904700744900	0	0.1566324033284385707293196300	0	0.0746056558192411539008100	0.0975387716617355398771011500	0.0799565036620078677199603400	0.1996076676876484151839487900	0	0	0
mollicutes	0	0	0	0	0.0363708504166115593175505900	0.0364652971921721162027470500	0	0.112686637242933608789557700	0.1051069617905280079139359500	0.0029880180476290076792063800	0.0961047541820584437036369600	0	0.014809549197322433505124100	0.0685266764561918746940773400	0	0.0142106011084268864572971400	0	0.0127930405859212588351936500	0.0172075575592800357917197200	0.0030271841133377732033662300	0	0
cyanobacteria	0	0.0029892685259916898334977400	0.187594914093440133400827800	0	0	0	0	0.1815506933358374808276207500	0	0	0	0.0224762394040585666581042900	0.0296190983946448670102482100	4.0952847120248001305270027700	0	0	0.0292616314985206619631303400	0.0799565036620078677199603400	0.1720755755928003579171972300	0	0	0
planctomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319826014648031470879841400	0	0	0	0
actinomycetia	0	0	0.0059553940982044486793913600	0.0225015268893246327429361300	0	0	0	0.0657338717250446051272419900	0	0	0	0	0	0	0	0.0284212022168537729145942900	0	0.0415773819042440912143793800	0.1273359259386722648587259500	0	0.0383401657474857699000206400	0
verrucomicrobiae	0	0	0	0	0	0	0	0.0532131342536075374839578100	0	0	0	0.3596198304649370665296686400	0	0.0097895252080274106705824800	0	0	0	0	0	0	0	0
gammaproteobacteria	99.37660649392856087688716873	97.5099393178489223686963800	99.18411100854599053092338385	90.17969076473046385290430422	66.776881364898822907022880570	98.09772699647502127142336210	27.454838132713289214809515290	98.62271887814192255923873916	97.04154816371954989489303821	84.22326470851883945379030089	95.94558068294440940625281557	97.56935525301823786283072181	99.68899946685622889639239382	85.89329417523250122369065100	82.87565382786495482643842130	97.95367344038652835014921131	87.84992034333647624930910037	93.43397191927591390283685675	95.03045737687992566335134391	69.156021069201428830901495430	93.71516206093137110331200047	13.593792726278370248837845230
bacilli	0.0295447159275563565456318100	0.0029892685259916898334977400	0.014888485245511121698478400	0.0932206113986306213635925300	0	0.0030387747660143430168955900	0	0.0907753466679187404138103700	0.0061827624582663534067021100	0.0029880180476290076792063800	0	0.0513742614949910095042383800	0.0118476393578579468040992800	0	0	0.2557908199516839562313485900	0.0032512923887245179959033700	0.0991460645408897559727508200	0.1824001101283683793922290700	0	0.1799038546612793818385584100	86.40278917145200984413453651
alphaproteobacteria	0.4520341536916122551481667500	1.7845933100170388305981526300	0.2918143108120179852901765800	0.6139702336944292648429714900	0.5058854648855971432350218200	1.482922085814999392245046800	0.0596196267811363500864484600	0.5790841080539643785018937600	2.0155805613948312105848893300	0.20318522723877252218603400	3.6850166681683034507613298500	1.4352684305163113280246596500	0.014809549197322433505124100	4.2649698156306085821504323700	0.0861864003804089396100808400	1.1972431433849651840272843500	8.671196800728289495074292030	5.2643362011065980106821888900	3.8304023126957359672368104100	0.0544893140400799176605921200	2.1234553337069041790780664800	0
cytophagia	0	0	0.0476431527856355894351308700	0	0.0396772913635762465282370100	0.0182326485960860581013735300	0	0	0.0370965747495981204402126900	0.050796306809693130546508500	0	0	0	0	0	0.0284212022168537729145942900	0	0.1183356254197716442255413100	0	0	0	0
flavobacteriia	0.047271545484090170473010900	0.4693151585806953038591456700	0	0.0064290076826641807836960400	0.0066128818939293744213728300	0.0425428467242008022365382300	0	0	0.0958328181031284778038827700	0	0.0030032735681893263657386600	0.0610069355253018237862830700	0	0.0065263501386849404470549800	0	0.1740798635782293591018900100	0.0097538771661735539877101100	0.2206799501071417149070905400	0	0	0	0
