order	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
pirellulales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319826014648031470879841400	0	0	0	0
kordiimonadales	0.0236357727420450852365054500	0.0149463426299584491674887200	0	0.0385802469135802469135802500	0.0198557151366735058574359700	0.0060775495320286860337911800	0	0	0.0773586657177337005291332700	0	0.2973240832507433102081268600	0.439892114050860518880041100	0	0.1930944198985436098838160700	0	0	0.2763598530415840296517865900	0	0.5850569570155212169184705900	0.0060543682266755464067324600	0	0
micrococcales	0	0	0	0	0	0	0	0.0657338717250446051272419900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
holosporales	0	0.0149463426299584491674887200	0	0	0	0.0030387747660143430168955900	0	0	0	0	0.0030032735681893263657386600	0.0192653480606216285640893900	0	0.006545573555882834233349700	0	0	0	0	0	0	0	0
bacteriovoracales	0	0	0	0.0225051440329218106995884800	0.0033092858561122509762393300	0.0273489728941290871520602900	0	0	0	0	0.0150163678409466318286932800	0	0	0	0	0	0	0	0	0	0	0
marinilabiliales	0.0059089431855112713091263600	0.0358712223119002780019729200	0	0.0450102880658436213991769500	2.2072936660268714011516314800	0.0091163242980430290506867600	8.355690693376259464615751510	0	0.0742643190890243525079679400	4.8704694176352825171064033200	0.0120130942727573054629546200	0.0224762394040585666581042900	0	0.0327278677794141711667484900	1.1293390394674274845458868300	0.0319738524939604945289185700	2.093832298338589589361771300	0	0.0585056957015521216918470600	3.9232306108857540715626324400	0	0
burkholderiales	0	0.0358712223119002780019729200	0.0208438793437155703778697600	0.0707304526748971193415637900	0.0132371434244490039049573100	0.0091163242980430290506867600	0	0.0563433186214668043947788500	0.0216604264009654361481573200	0	0.0090098207045679790972159700	0.0963267403031081428204469600	0	0.3403698249059073801341842600	0	0.2415802188432570697740514400	0.0195077543323471079754202300	0.3102312342085905267534461300	0.1824001101283683793922290700	0	3.8812044710531748606482437300	0.0034181022696199070276182700
synechococcales	0	0.0029892685259916898334977400	0.0059553940982044486793913600	0	0	0	0	0.1283375590822299433436629400	0	0	0	0.0224762394040585666581042900	0.0296190983946448670102482100	0.0032727867779414171166748500	0	0	0	0.0799565036620078677199603400	0	0	0	0
verrucomicrobiales	0	0	0	0	0	0	0	0.0532131342536075374839578100	0	0	0	0.3596198304649370665296686400	0	0.0098183603338242513500245500	0	0	0	0	0	0	0	0
xanthomonadales	0	0.0089678055779750695004932300	0.0029776970491022243396956800	0.0578703703703703703703703700	0	0.0455816214902151452534338200	0	0.0563433186214668043947788500	0	0	0.0030032735681893263657386600	0.0192653480606216285640893900	0.0029619098394644867010248200	0.0032727867779414171166748500	0	0.1065795083132016484297285800	0.0715284325519393959098741700	0	0.1204529029149602505420380600	0	0.8080927242162385348158197400	0.0034181022696199070276182700
cellvibrionales	0.0886341477826690696368954400	0.0478282964158670373359638900	0.0476431527856355894351308700	0.0643004115226337448559670800	0.095969289827255278310940500	0.1640938373647745229123617400	0	0.0876451623000594735029893300	0.1547173314354674010582665500	0	0.1591734991140342973841487200	0.1059594143334189571024916500	0	1.4858451971854033709703812800	0	0.0852636066505613187437828600	0.6112429690802093832298338600	0.1791025682028976236927111700	0.030973603606704064425095500	0.0030271841133377732033662300	0	0
desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1374570446735395189003436400	0	0	0.0130051695548980719836134900	0	0	0.1029242598534842889144517800	0	0
chromatiales	0	0	0	0.0096450617283950617283950600	0.0033092858561122509762393300	0	0	0.0813847935643409396813472300	0.0990190921186991366772905900	0	0.0120130942727573054629546200	0	0	0	0	0	0.5462171213057190233117664300	0.0767582435155275530111619300	0.161751041057232336442165400	0	0	0
parvularculales	0	0	0.0476431527856355894351308700	0	0	0	0	0	0	0	0	0	0	0.4810996563573883161512027500	0	0.4831604376865141395481028800	0.022759046721071625971323600	0	1.6794576177857314932718449900	0	0	0
sphingomonadales	0.0088634147782669069636895400	0.0119570741039667593339909700	0.0178661822946133460381740800	0.0803755144032921810699588500	0.0066185717122245019524786600	0.0303877476601434301689558800	0	0.0719942404607631389488840900	0	0	0.0210229149773252845601705900	0.0321089134343693809401489900	0	0.0327278677794141711667484900	0	0.1421060110842688645729714400	0.0520206782195922879344539500	0.0031982601464803147087984100	0.2512303403654885225591079600	0	1.7783938419795322499778806700	0
maricaulales	0	0	0	0	0.0264742868488980078099146200	0.0030387747660143430168955900	0	0	0.0773586657177337005291332700	0	0	0	0	0	0	0	0	0	0	0	0	0
spirulinales	0	0	0.0655093350802489354733049500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rhodobacterales	0.3899902502437439064023399400	1.6142050040355125100887812800	0.0833755173748622815114790200	0.4083076131687242798353909500	0.3739493017406843603150440100	1.3735261942384830436368056400	0.0536576641030227150778036100	0.2159827213822894168466522700	1.2315499582263205124238017100	0.1792810828577404607523829400	3.3306303871219629396041685400	0.9086822501926534806062162900	0.014809549197322433505124100	2.4251350024545900834560628400	0.0742986210175939134569662400	0.5222395907346880773056700300	8.196508111974509867672399780	0.1375251862986535324783317900	0.9223250851774099184361771700	0.042380577586728824847127200	0	0
myxococcales	0.0029544715927556356545631800	0	0.1101747908167823005687401400	0	0	0	0	0.0688640560929038720380630400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
campylobacterales	0.0206813011492894495819422700	0.0059785370519833796669954900	0	0	0.0893507181150307763584618400	0.0942020177464446335237632200	0	0	0	0	0.1982160555004955401387512400	0.0321089134343693809401489900	0	0.006545573555882834233349700	0.0267475035663338088445078500	0	0.068277140163214877913970800	0	0	0.0030271841133377732033662300	0	0
alteromonadales	0.8922504210122019676780807800	1.061190326727049890891698800	0	0.5979938271604938271604938300	10.358064729631345555629095240	2.8139054333292816336453142100	0.9539140284981816013831753400	0.0375622124143112029298525700	10.362966859547606522882693320	17.608390354677742253563211520	6.8264408204943388293239631200	1.1462882096069868995633187800	0.0118476393578579468040992800	4.9746359024709540173457699200	12.981455064194008559201141230	0.5364501918431149637629671700	67.965016093897324186364079720	0.1663095276169763648575175100	2.8530130433286299342671301200	13.561784827753223951080704730	0.0058984870380747338307724100	0
