identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
lewinellaceae	0.0177268295565338139273790900	0.0179356111559501390009864600	0	0	0.0033092858561122509762393300	0	0	0	0.0711699724603150044868026100	0	0	0	0	0.1570937653411880216003927300	0	0	0.0975387716617355398771011500	0.0799565036620078677199603400	0.1996076676876484151839487900	0	0	0
shimia marina	0.0590894318551127130912636300	0.1076136669357008340059187500	0	0.0321502057613168724279835400	0.0264742868488980078099146200	0.2977999270694056156557675900	0	0	0.080453012346443048550298600	0.0089640541428870230376191500	0.8589362405021473406012553700	0.2022861546365270999229386100	0	0.1178203240058910162002945500	0.0029719448407037565382786500	0.0248685519397470513002700	3.6479500601489091914035829200	0	0.1204529029149602505420380600	0.0030271841133377732033662300	0	0
photobacterium rosenbergii	0.0059089431855112713091263600	0.0029892685259916898334977400	0	0	0.0033092858561122509762393300	0	0.0327907947296249925475466500	0	0.0773586657177337005291332700	0.4123464905728030597304807700	0.0150163678409466318286932800	0	0	0	0.0505230622919638611507370400	0	0.045518093442143251942647200	0	0.0240905805829920501084076100	0.0393533934733910516437609700	0	0
enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5366420563303254033360678200
thalassotalea agarivorans	0	0.0089678055779750695004932300	0	0	0.0794228605466940234297438600	0.0455816214902151452534338200	0	0	0.1980381842373982733545811800	0.0059760360952580153584127600	0.0450491035228398954860798300	0	0	0	0	0.0390791530481739377575671500	0.4096628409792892674838248200	0	0	0	0	0
sagittula stellata	0.0620439034478683487458268100	0.1016351298837174543389232700	0.0059553940982044486793913600	0.0321502057613168724279835400	0.0165464292805612548811966400	0.2157530083870183541995867300	0.0029809813390568175043224200	0	0.2011325308661076213757465100	0.0298801804762900767920638200	0.468510676637534913055230200	0.1509118931415360904187002300	0	0.2094583537882506954671903100	0.011887779362815026153114600	0.0284212022168537729145942900	0.7315407874630165490782586100	0.0191895608788818882527904800	0.1411019719860962934921017300	0.0090815523400133196100986900	0	0
haliea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09274954424792912655515400	0	0	0	0
candidatus pelagibacter	0	0.0298926852599168983349774300	0	0	0	0	0	0.0093905531035778007324631400	0	0	0	0	0	0	0	0.0497371038794941026005400	0	0.0639652029296062941759682700	0	0	0	0
cellvibrionaceae	0.0709073182261352557095163500	0.0298926852599168983349774300	0	0.0160751028806584362139917700	0.0430207161294592626911112600	0.1640938373647745229123617400	0	0	0.0309434662870934802116533100	0	0.1501636784094663182869327600	0.0963267403031081428204469600	0	0.0229095074455899198167239400	0	0.0213159016626403296859457200	0.4519296420327080014305686500	0	0	0.0030271841133377732033662300	0	0
pseudoalteromonas phenolica	0	0.0119570741039667593339909700	0	0.0064300411522633744855967100	0.0992785756833675292871798300	0.0030387747660143430168955900	0.0029809813390568175043224200	0.0281716593107334021973894300	0.0154717331435467401058266500	0	0.0060065471363786527314773100	0	0	0	0	0	0.0195077543323471079754202300	0	0.0034415115118560071583439400	0	0	0
colwelliaceae	0	0	0	0	0	0	0	0	0	0	0.0300327356818932636573865500	0.003210891343436938094014900	0	0	0	0	0.6437558929674545631888675700	0	0	0	0	0
lentisphaeria	0	0.0059785370519833796669954900	0	0	0.0198557151366735058574359700	0.0060775495320286860337911800	0	0	0	0	0	0.1380683277677883380426406400	0	0	0	0	0	0	0	0	0	0
bacillus subtilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.632075471698113207547169810
proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2912780232367861233840615300	0	0	0	0	0	0	0	0
tropicimonas sediminicola	0.0118178863710225426182527300	0.0388604908378919678354706600	0	0	0.0066185717122245019524786600	0.024310198128114744135164700	0	0	0.0433208528019308722963146300	0.0029880180476290076792063800	0.0510556506592185482175571400	0.0160544567171846904700744900	0.0059238196789289734020496400	0.0392734413352970054000981800	0	0.0142106011084268864572971400	0.0617745553857658419221640600	0	0.030973603606704064425095500	0	0	0
lentisphaerales	0	0.020924879681941828834484200	0	0	0	0	0	0	0	0	0	0.0866940662727973285384022600	0	0	0	0	0.0260103391097961439672269700	0	0	0	0	0
neptuniibacter	0.0088634147782669069636895400	0.0029892685259916898334977400	0	0.0321502057613168724279835400	0.4666093057118273876497451800	0.024310198128114744135164700	0	0	0.1268682117770832688677785700	0	0.1231342162957623809952848600	0.009632674030310814282044700	0	0.1963672066764850270004909200	0	0	0.0195077543323471079754202300	0	0.0172075575592800357917197200	0	0	0
schleiferiaceae	0.0236357727420450852365054500	0.2929483155471856036827788200	0	0.0064300411522633744855967100	0	0.0060775495320286860337911800	0	0	0	0	0	0	0	0.0032727867779414171166748500	0	0	0.0097538771661735539877101100	0	0	0	0	0
pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319826014648031470879841400	0	0	0	0
desulfobacterales	0	0	0.0297769704910222433969567900	8.809156378600823045267489710	0	0.1428224140026741217940926200	0	0	0	0	0	0	0.213257508441443042473787100	3.950253640975290459826542300	0.011887779362815026153114600	0	0.0552719706083168059303573200	0.3070329740621102120446477100	0	0	0	0
bradyrhizobium lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1356652018757188781077653600	0
vibrio rumoiensis	0	0	0	0.0128600823045267489711934200	3.0279965583427096432589847100	0.0273489728941290871520602900	0.143087104274727240207476300	0	0	1.290823796575731317417157200	0	0	0	0.0196367206676485027000490900	0.011887779362815026153114600	0	0.0357642162759696979549370900	0	0	0.7234970030877277956045286700	0	0
bacillus megaterium	0.0029544715927556356545631800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5358217117856166256494394300
novosphingobium subarcticum	0.0059089431855112713091263600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0766803314949715398000412900	0
